ENSMUSG00000051951	Xkr4
ENSMUSG00000025900	Rp1
ENSMUSG00000025902	Sox17
ENSMUSG00000033845	Mrpl15
ENSMUSG00000025903	Lypla1
ENSMUSG00000033813	Tcea1
ENSMUSG00000062588	Gm6104
ENSMUSG00000002459	Rgs20
ENSMUSG00000033793	Atp6v1h
ENSMUSG00000025905	Oprk1
ENSMUSG00000033774	Npbwr1
ENSMUSG00000025907	Rb1cc1
ENSMUSG00000073741	4732440D04Rik
ENSMUSG00000087247	Fam150a
ENSMUSG00000033740	St18
ENSMUSG00000051285	Pcmtd1
ENSMUSG00000025909	Sntg1
ENSMUSG00000061024	Rrs1
ENSMUSG00000025911	Adhfe1
ENSMUSG00000079671	2610203C22Rik
ENSMUSG00000067879	3110035E14Rik
ENSMUSG00000025912	Mybl1
ENSMUSG00000045210	Vcpip1
ENSMUSG00000025915	Sgk3
ENSMUSG00000046101	Mcmdc2
ENSMUSG00000099032	Tcf24
ENSMUSG00000073738	Gm10567
ENSMUSG00000025916	Ppp1r42
ENSMUSG00000025917	Cops5
ENSMUSG00000056763	Cspp1
ENSMUSG00000067851	Arfgef1
ENSMUSG00000042501	Cpa6
ENSMUSG00000048960	Prex2
ENSMUSG00000057715	A830018L16Rik
ENSMUSG00000095719	A830018L16Rik
ENSMUSG00000016918	Sulf1
ENSMUSG00000025938	Slco5a1
ENSMUSG00000069620	Gm5250
ENSMUSG00000042414	Prdm14
ENSMUSG00000005886	Ncoa2
ENSMUSG00000025935	Tram1
ENSMUSG00000025937	Lactb2
ENSMUSG00000067813	Xkr9
ENSMUSG00000025932	Eya1
ENSMUSG00000025930	Msc
ENSMUSG00000054493	Gm9947
ENSMUSG00000032769	Trpa1
ENSMUSG00000092083	Kcnb2
ENSMUSG00000090498	Kcnb2
ENSMUSG00000025925	Terf1
ENSMUSG00000032719	Sbspon
ENSMUSG00000067795	4930444P10Rik
ENSMUSG00000043716	Rpl7
ENSMUSG00000025921	Rdh10
ENSMUSG00000025920	Stau2
ENSMUSG00000025939	Ube2w
ENSMUSG00000079658	Tceb1
ENSMUSG00000025940	Tmem70
ENSMUSG00000025779	Ly96
ENSMUSG00000091020	Gm5828
ENSMUSG00000042686	Jph1
ENSMUSG00000025777	Gdap1
ENSMUSG00000067780	Pi15
ENSMUSG00000025776	Crispld1
ENSMUSG00000025774	Crisp4
ENSMUSG00000073735	Defb18
ENSMUSG00000067773	Defb41
ENSMUSG00000089923	Gm15386
ENSMUSG00000042596	Tfap2d
ENSMUSG00000025927	Tfap2b
ENSMUSG00000043760	Pkhd1
ENSMUSG00000025929	Il17a
ENSMUSG00000041872	Il17f
ENSMUSG00000041859	Mcm3
ENSMUSG00000025931	Paqr8
ENSMUSG00000041809	Efhc1
ENSMUSG00000041779	Tram2
ENSMUSG00000025933	Tmem14a
ENSMUSG00000025934	Gsta3
ENSMUSG00000096375	Gm7094
ENSMUSG00000067750	Khdc1a
ENSMUSG00000041722	Khdc1c
ENSMUSG00000085079	Khdc1b
ENSMUSG00000028033	Kcnq5
ENSMUSG00000041670	Rims1
ENSMUSG00000073730	4933415F23Rik
ENSMUSG00000073729	Gm6420
ENSMUSG00000026158	Ogfrl1
ENSMUSG00000026156	B3gat2
ENSMUSG00000026155	Smap1
ENSMUSG00000026154	1110058L19Rik
ENSMUSG00000096985	Gm26524
ENSMUSG00000026153	Fam135a
ENSMUSG00000026147	Col9a1
ENSMUSG00000026141	Col19a1
ENSMUSG00000067736	Gm10222
ENSMUSG00000073725	Lmbrd1
ENSMUSG00000033569	Bai3
ENSMUSG00000052558	Gm9884
ENSMUSG00000073722	4931408C20Rik
ENSMUSG00000048411	Gm597
ENSMUSG00000053185	Gm9898
ENSMUSG00000048874	Phf3
ENSMUSG00000026064	Ptp4a1
ENSMUSG00000086151	Gm5698
ENSMUSG00000087346	Gm5699
ENSMUSG00000086727	4931428L18Rik
ENSMUSG00000050217	Lgsn
ENSMUSG00000026063	Pih1d3
ENSMUSG00000094215	Gm6489
ENSMUSG00000026058	Khdrbs2
ENSMUSG00000091318	Gm5415
ENSMUSG00000026134	Prim2
ENSMUSG00000044744	1700001G17Rik
ENSMUSG00000004768	Rab23
ENSMUSG00000042215	Bag2
ENSMUSG00000042197	Zfp451
ENSMUSG00000042182	Bend6
ENSMUSG00000026131	Dst
ENSMUSG00000042111	Ccdc115
ENSMUSG00000026127	Imp4
ENSMUSG00000026126	Ptpn18
ENSMUSG00000026125	Prss39
ENSMUSG00000026124	Cfc1
ENSMUSG00000037529	Prss40
ENSMUSG00000045815	1700101I19Rik
ENSMUSG00000045174	Amer3
ENSMUSG00000037509	Arhgef4
ENSMUSG00000037503	Fam168b
ENSMUSG00000026123	Plekhb2
ENSMUSG00000045216	Hs6st1
ENSMUSG00000037470	Uggt1
ENSMUSG00000047180	Neurl3
ENSMUSG00000037447	Arid5a
ENSMUSG00000010453	Kansl3
ENSMUSG00000001143	Lman2l
ENSMUSG00000037408	Cnnm4
ENSMUSG00000001138	Cnnm3
ENSMUSG00000067653	Ankrd23
ENSMUSG00000079610	Ankrd39
ENSMUSG00000026121	Sema4c
ENSMUSG00000046337	Fam178b
ENSMUSG00000061518	Cox5b
ENSMUSG00000037351	Actr1b
ENSMUSG00000026117	Zap70
ENSMUSG00000026116	Tmem131
ENSMUSG00000050122	Vwa3b
ENSMUSG00000026115	Vwa3b
ENSMUSG00000026114	Cnga3
ENSMUSG00000026113	Inpp4a
ENSMUSG00000026112	Coa5
ENSMUSG00000026111	Unc50
ENSMUSG00000026110	Mgat4a
ENSMUSG00000026090	2010300C02Rik
ENSMUSG00000060771	Tsga10
ENSMUSG00000037216	Lipt1
ENSMUSG00000026088	Mitd1
ENSMUSG00000026087	Mrpl30
ENSMUSG00000061584	Lyg2
ENSMUSG00000026085	Lyg1
ENSMUSG00000058407	Txndc9
ENSMUSG00000026083	Eif5b
ENSMUSG00000026082	Rev1
ENSMUSG00000037138	Aff3
ENSMUSG00000048814	Lonrf2
ENSMUSG00000026080	Chst10
ENSMUSG00000067604	Nms
ENSMUSG00000026078	Pdcl3
ENSMUSG00000026077	Npas2
ENSMUSG00000073702	Rpl31
ENSMUSG00000003134	Tbc1d8
ENSMUSG00000003135	Cnot11
ENSMUSG00000048234	Rnf149
ENSMUSG00000050967	Creg2
ENSMUSG00000057173	Rfx8
ENSMUSG00000091937	Gm3646
ENSMUSG00000026074	Map4k4
ENSMUSG00000026073	Il1r2
ENSMUSG00000026072	Il1r1
ENSMUSG00000070942	Il1rl2
ENSMUSG00000026069	Il1rl1
ENSMUSG00000026070	Il18r1
ENSMUSG00000026068	Il18rap
ENSMUSG00000026065	Slc9a4
ENSMUSG00000026062	Slc9a2
ENSMUSG00000041945	Mfsd9
ENSMUSG00000079588	Tmem182
ENSMUSG00000053640	Gm9915
ENSMUSG00000045515	Pou3f3
ENSMUSG00000060679	Mrps9
ENSMUSG00000041907	Gpr45
ENSMUSG00000096364	Gpr45
ENSMUSG00000070939	Tgfbrap1
ENSMUSG00000041878	8430432A02Rik
ENSMUSG00000010290	AI597479
ENSMUSG00000008136	Fhl2
ENSMUSG00000066877	Nck2
ENSMUSG00000026051	1500015O10Rik
ENSMUSG00000057363	Uxs1
ENSMUSG00000041763	Tpp2
ENSMUSG00000047343	Mettl21c
ENSMUSG00000091844	Gm8251
ENSMUSG00000026049	Tex30
ENSMUSG00000026047	Kdelc1
ENSMUSG00000041684	Bivm
ENSMUSG00000026048	Ercc5
ENSMUSG00000046828	Mettl21e
ENSMUSG00000056870	Gulp1
ENSMUSG00000026043	Col3a1
ENSMUSG00000026042	Col5a2
ENSMUSG00000025995	Wdr75
ENSMUSG00000098549	Gm5269
ENSMUSG00000025993	Slc40a1
ENSMUSG00000070896	Rpl23a-ps1
ENSMUSG00000044457	Gm4776
ENSMUSG00000041144	Dnah7b
ENSMUSG00000095861	Dnah7c
ENSMUSG00000025986	Slc39a10
ENSMUSG00000051616	C230029F24Rik
ENSMUSG00000026109	Tmeff2
ENSMUSG00000045954	Sdpr
ENSMUSG00000026107	Nabp1
ENSMUSG00000018417	Myo1b
ENSMUSG00000072324	Gm8420
ENSMUSG00000062939	Stat4
ENSMUSG00000078291	Gm3940
ENSMUSG00000026104	Stat1
ENSMUSG00000026103	Gls
ENSMUSG00000002881	Nab1
ENSMUSG00000043015	Tmem194b
ENSMUSG00000041439	Mfsd6
ENSMUSG00000026102	Inpp1
ENSMUSG00000041426	Hibch
ENSMUSG00000043629	1700019D03Rik
ENSMUSG00000026100	Mstn
ENSMUSG00000060715	1700019A02Rik
ENSMUSG00000026098	Pms1
ENSMUSG00000026097	Ormdl1
ENSMUSG00000026096	Osgepl1
ENSMUSG00000026095	Asnsd1
ENSMUSG00000096141	Dnah7a
ENSMUSG00000026094	Stk17b
ENSMUSG00000042807	Hecw2
ENSMUSG00000025983	Ccdc150
ENSMUSG00000041303	Gtf3c3
ENSMUSG00000073678	Pgap1
ENSMUSG00000052331	Ankrd44
ENSMUSG00000025982	Sf3b1
ENSMUSG00000025981	Coq10b
ENSMUSG00000025980	Hspd1
ENSMUSG00000073676	Hspe1
ENSMUSG00000025979	Mob4
ENSMUSG00000025978	Rftn2
ENSMUSG00000046994	Mars2
ENSMUSG00000025977	Boll
ENSMUSG00000038349	Plcl1
ENSMUSG00000045336	Hsfy2
ENSMUSG00000038331	Satb2
ENSMUSG00000038323	1700066M21Rik
ENSMUSG00000048495	Tyw5
ENSMUSG00000025971	9430016H08Rik
ENSMUSG00000038305	Spats2l
ENSMUSG00000054770	Kctd18
ENSMUSG00000026039	Sgol2
ENSMUSG00000063558	Aox1
ENSMUSG00000064294	Aox3
ENSMUSG00000038242	Aox4
ENSMUSG00000079554	Aox2
ENSMUSG00000051223	Bzw1
ENSMUSG00000026034	Clk1
ENSMUSG00000026035	Ppil3
ENSMUSG00000026036	Nif3l1
ENSMUSG00000026037	Orc2
ENSMUSG00000038174	Fam126b
ENSMUSG00000026032	Ndufb3
ENSMUSG00000059647	Gm10068
ENSMUSG00000047528	Als2cr12
ENSMUSG00000026031	Cflar
ENSMUSG00000026029	Casp8
ENSMUSG00000026028	Trak2
ENSMUSG00000026027	Stradb
ENSMUSG00000047383	Als2cr11
ENSMUSG00000072295	Als2cr11
ENSMUSG00000038079	Tmem237
ENSMUSG00000097573	G730003C15Rik
ENSMUSG00000079550	Mpp4
ENSMUSG00000026024	Als2
ENSMUSG00000026023	Cdk15
ENSMUSG00000041075	Fzd7
ENSMUSG00000047361	Gm973
ENSMUSG00000026021	Sumo1
ENSMUSG00000026020	Nop58
ENSMUSG00000067336	Bmpr2
