chr	start	end	name	motif_start
chrX	63005829	63006173	L2	63005830
chrX	67746983	67747478	L2	67747232
chrX	118646988	118647529	L2	118647199
chrX	123998417	123998701	L2	123998675
chr13	36171897	36172404	L2	36172069
chr13	47030437	47031075	L2	47030836
chr13	112828064	112828466	L2	112828268
chr12	44799399	44799664	L2	44799602
chr12	71407097	71407379	L2	71407292
chr12	102646349	102646646	L2	102646586
chr12	110124295	110124440	L2	110124423
chr12	110339258	110339469	L2	110339268
chr12	117076459	117077069	L2	117076722
chr12	120245134	120245729	L2	120245157
chr12	120473045	120473274	L2	120473178
chr12	123023385	123023692	L2	123023633
chr12	125239300	125240173	L2	125239420
chr11	57295240	57295589	L2	57295478
chr10	62423888	62424242	L2	62424116
chr10	72874235	72874411	L2	72874237
chr10	87835670	87836104	L2	87835861
chr10	99630266	99631360	L2	99631134
chr10	99654908	99655453	L2	99655188
chr10	113941947	113942479	L2	113942211
chr10	119513346	119513709	L2	119513431
chr10	120581513	120581657	L2	120581551
chr17	7936682	7936990	L2	7936741
chr17	29862799	29863079	L2	29863014
chr17	58333996	58334259	L2	58334116
chr17	64264424	64264532	L2	64264473
chr16	10692685	10692950	L2	10692784
chr16	23557471	23557793	L2	23557612
chr16	27677120	27677828	L2	27677587
chr16	48111148	48111650	L2	48111413
chr16	50214710	50214858	L2	50214750
chr16	53087339	53087635	L2	53087564
chr16	69536456	69538245	L2	69538186
chr15	33078342	33078739	L2	33078555
chr15	65588278	65588506	L2	65588401
chr15	75819334	75819661	L2	75819558
chr14	35944780	35945109	L2	35944979
chr14	74008894	74009377	L2	74009137
chr14	75506714	75507019	L2	75506732
chr14	91221546	91221954	L2	91221751
chr14	94032103	94032270	L2	94032214
chr14	94585097	94585644	L2	94585421
chr14	99187899	99188019	L2	99187915
chr19	3674838	3675008	L2	3674880
chr19	11454709	11454891	L2	11454858
chr19	13726437	13726743	L2	13726541
chr19	17645897	17646371	L2	17645897
chr19	35069645	35069878	L2	35069854
chr19	40339068	40339697	L2	40339258
chr19	40388051	40388292	L2	40388082
chr19	41128073	41128426	L2	41128304
chr19	43679102	43679296	L2	43679264
chr19	44371411	44371881	L2	44371619
chr19	44593408	44594249	L2	44593991
chr19	45115296	45115486	L2	45115420
chr19	48785591	48785937	L2	48785787
chr19	59088539	59088805	L2	59088752
chr18	69798386	69798850	L2	69798832
chr22	17137540	17138077	L2	17137716
chr22	18742587	18743124	L2	18742763
chr22	19888646	19889183	L2	19888822
chr22	21312564	21313101	L2	21312911
chr22	22970257	22970794	L2	22970433
chr22	23347159	23347696	L2	23347506
chr22	34248492	34248970	L2	34248677
chr22	41195726	41195983	L2	41195953
chr20	20018763	20019054	L2	20018929
chr20	34393543	34393932	L2	34393625
chr20	34574267	34574748	L2	34574496
chr20	36071618	36071949	L2	36071715
chr20	36340836	36340935	L2	36340879
chr20	37209268	37209482	L2	37209301
chr20	45013997	45014447	L2	45014221
chr20	46467724	46468048	L2	46467938
chr20	47571796	47572322	L2	47572252
chr20	57774128	57774260	L2	57774171
chr20	58960013	58960514	L2	58960259
chr20	60591926	60592016	L2	60591940
chr7	1078056	1078291	L2	1078255
chr7	4053492	4053744	L2	4053637
chr7	5194301	5194405	L2	5194345
chr7	17683549	17683860	L2	17683770
chr7	24877403	24877904	L2	24877451
chr7	28181247	28181624	L2	28181549
chr7	43847888	43848028	L2	43848011
chr7	67336886	67337647	L2	67337141
chr7	101723507	101723643	L2	101723626
chr7	101822742	101822878	L2	101822861
chr7	130257267	130257927	L2	130257849
chr7	155785891	155786280	L2	155786037
chr6	33858267	33858563	L2	33858437
chr6	136836712	136837343	L2	136836832
chr6	154914468	154914983	L2	154914646
chr6	159574879	159575301	L2	159575178
chr5	55919065	55919855	L2	55919360
chr5	72622944	72623260	L2	72623017
chr5	75279929	75280502	L2	75280182
chr5	132785381	132786323	L2	132785575
chr5	145921150	145921935	L2	145921342
chr5	149169513	149169821	L2	149169621
chr5	152867723	152867968	L2	152867913
chr5	157517204	157517558	L2	157517495
chr5	175771000	175771335	L2	175771097
chr4	14070859	14071207	L2	14071107
chr4	25076155	25076870	L2	25076235
chr3	10503071	10503398	L2	10503312
chr3	13569474	13569580	L2	13569529
